Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
1E-11;68.40;54.50;54.30;87.40;3E-11;68.40;54.50;54.70;87.40;1E-14;67.1;55.4;55.2;84.1
1E-15;66.50;53.40;52.20;83.60;4E-15;66.50;53.40;52.60;83.60;0E+00;65.2;54.2;53;80.3
0E+00;64.60;52.30;50.20;79.70;0E+00;64.60;52.30;50.60;79.80;2E-07;68.3;22.1;23.6;88.3
6E-08;67.80;26.00;26.90;87.10;1E-07;67.70;26.00;27.00;87.10;1E-07;69.3;41.3;40.9;89.7
4E-08;69.30;43.00;42.60;89.70;9E-08;69.30;43.00;42.50;89.70;6E-08;69.6;53.1;53;89.6
4E-08;69.30;43.80;44.30;89.60;8E-08;69.30;43.80;44.30;89.60;6E-11;68.5;59.5;60.2;87.2
9E-13;68.30;54.50;54.20;87.20;2E-12;68.30;54.50;54.20;87.20;2E-13;66.6;58.2;57.8;83.4
4E-15;66.40;53.40;52.20;83.30;1E-14;66.40;53.40;52.20;83.30;5E-16;64.7;56.9;55.5;79.6
6E-08;68.40;27.10;28.20;88.50;1E-07;68.40;27.10;28.20;88.50;2E-07;68.7;21;22.5;89.1
3E-08;69.60;52.00;51.30;89.60;6E-08;69.50;52.00;51.30;89.60;8E-08;69.5;48.1;47.6;89.6
4E-09;69.10;60.80;61.30;88.30;8E-09;69.10;60.80;61.30;88.30;3E-08;69.6;59.8;59.9;89.3
-2E-13;67.20;59.60;59.60;84.60;-4E-13;67.20;59.60;59.60;84.60;-2E-12;68.1;60.3;60.9;86.3
9E-16;65.30;58.30;57.20;80.70;2E-15;65.30;58.30;57.20;80.70;1E-14;66.2;59;58.5;82.5
0E+00;63.40;57.10;54.90;77.00;0E+00;63.40;57.10;54.90;77.00;-1E-16;64.3;57.8;56.1;78.7
0E+00;61.70;55.90;52.80;73.50;0E+00;61.70;55.90;52.80;73.50;0E+00;62.5;56.6;53.9;75.1
0E+00;59.90;54.80;50.80;70.30;0E+00;59.90;54.80;50.70;70.30;0E+00;60.7;55.5;51.8;71.7
0E+00;58.30;53.70;48.90;67.20;0E+00;58.30;53.70;48.90;67.20;0E+00;59;54.4;49.9;68.5
0E+00;56.70;52.70;47.10;64.30;0E+00;56.70;52.70;47.10;64.30;0E+00;57.4;53.3;48;65.6
8E-07;67.10;46.70;61.30;89.90;0E+00;55.20;46.70;45.40;61.60;4E-07;63.5;38;45.3;77.9
6E-07;69.80;49.80;57.90;90.00;4E-07;65.50;49.80;31.30;82.80;4E-07;68.4;23.1;30;89.2
6E-07;69.80;46.90;56.80;90.00;4E-07;68.80;46.90;29.20;89.80;3E-07;68.5;25.4;28.5;89.8
6E-07;69.80;45.70;53.80;90.00;4E-07;69.00;45.70;31.00;89.80;4E-07;68.6;27.8;31.6;89.8
3E-07;69.60;44.80;48.40;89.80;3E-07;69.10;44.80;39.10;89.80;3E-07;68.7;38.9;41.7;89.7
2E-07;68.80;41.30;44.70;89.70;7E-08;68.90;41.30;45.10;88.90;5E-08;68.8;36.5;37.5;89.1
1E-07;69.00;46.50;56.10;88.90;1E-07;69.10;46.50;34.70;88.60;9E-08;65.7;25.9;46.2;88.1
2E-07;68.90;36.00;53.20;88.80;2E-07;69.10;36.00;34.10;89.10;2E-07;67.2;24.1;47.7;88
2E-07;68.50;35.60;53.30;88.80;3E-07;68.60;35.60;23.30;89.70;4E-07;68.2;20.6;25.1;89.7
3E-07;68.50;24.90;34.90;89.80;3E-07;69.10;24.90;39.80;89.80;4E-07;68.8;41.3;44.3;89.7
3E-07;68.90;41.90;49.10;89.80;3E-07;69.30;41.90;47.30;89.70;3E-07;69.1;50.7;53;89.6
3E-07;69.10;41.40;48.80;89.80;3E-07;69.00;41.40;35.00;89.20;4E-07;68.2;25.3;47.6;88.6
4E-07;68.90;39.40;55.00;89.40;4E-07;69.10;39.40;34.90;89.00;1E-10;68.5;27.2;43.6;87.5
3E-07;68.60;40.20;54.10;89.00;3E-07;68.90;40.20;35.40;88.90;4E-07;69.8;25.5;47.8;88.2
2E-07;68.70;42.20;54.40;89.00;4E-07;68.70;42.20;26.40;89.70;3E-07;68.8;19.6;22.5;89.7
2E-07;68.90;40.20;62.70;89.20;4E-07;69.10;40.20;42.70;89.80;4E-07;68.7;44.7;47.8;89.7
3E-07;68.50;41.40;54.60;89.00;3E-07;69.50;41.40;51.30;89.60;3E-07;69.1;55.8;58;89.6
4E-07;68.20;42.20;54.40;88.80;5E-07;69.20;42.20;36.30;89.30;6E-07;66.1;25.4;49.8;88.8
1E-09;68.40;45.10;55.10;87.80;-8E-12;68.30;45.10;35.80;87.50;3E-09;66.2;28.5;45.5;87.7
3E-08;67.40;34.40;41.30;86.30;4E-14;66.40;34.40;34.90;83.50;2E-13;64.3;28.2;44;83.7
5E-08;69.10;36.70;36.10;89.70;-3E-16;64.50;36.70;33.90;79.70;-1E-15;62.5;28;42.5;79.8
2E-08;69.70;58.60;58.40;89.40;1E-16;62.60;58.60;33.00;76.00;0E+00;60.7;27.7;41.1;76.1
2E-12;68.30;60.40;61.00;86.70;0E+00;60.90;60.40;32.20;72.60;0E+00;59;27.5;39.8;72.7
-4E-15;66.40;59.00;58.60;82.90;0E+00;59.20;59.00;31.40;69.40;0E+00;57.4;27.2;38.6;69.5
9E-07;66.80;48.70;65.40;90.00;1E-06;69.30;48.70;39.80;89.90;2E-06;68.6;31;41.9;89.9
6E-07;69.80;52.70;62.80;90.00;1E-06;69.50;52.70;37.70;90.00;9E-07;69.6;32.2;38.3;89.9
7E-07;69.90;50.40;62.40;90.00;1E-06;69.50;50.40;36.70;90.00;2E-07;68.6;15.9;17.2;89.7
